points_ps_2
7
7
8
8
9
10
10
11
11
11
12
12
12
13
13
13
15
15
15
15
16
17
8
10
10
10
12
12
13
13
13
13
14
14
14
14
14
14
15
15
16
16
17
18
8
9
9
10
10
11
11
11
12
12
12
12
13
13
13
14
14
14
15
15
15
16
17
9
9
11
11
11
11
12
12
12
13
13
13
15
16
17
