Account,User Name,Followers at Posting,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Views,URL,Description
SUGA of BTS 민윤기,agustd,42986011,14/02/2023,10:30:47,Photo,6032573,6032572,1,0,https://www.instagram.com/p/Copd1XvJT78/,🔥
Selena Gomez,selenagomez,380458356,22/02/2023,11:15:21,Album,6027779,6012536,15243,0,https://www.instagram.com/p/Co-JSr2rHoG/,"Nothing, absolutely nothing like a sisters love. Until they steal your clothes, make up and skin products but whatever she cute 🥰"
Kylian Mbappé,k.mbappe,97251068,08/02/2023,04:27:53,Photo,6003076,5979251,23825,0,https://www.instagram.com/p/CoZXiGXs6Oe/,The Greatest 👑
BTS official,bts.bighitofficial,71747790,20/02/2023,22:01:39,Photo,5966611,5945536,21075,0,https://www.instagram.com/p/Co6JqkspiUp/,"Me, Myself, and SUGA
‘Wholly or Whole me’
Special 8 Photo-Folio

Preview image 3

#BTS #Photo_Folio #SUGA #슈가 #Wholly_or_Whole_me 
@agustd"
DUA LIPA,dualipa,87792613,24/02/2023,08:20:53,Album,5932456,5914655,17801,10366351,https://www.instagram.com/p/CpC-6qCMw0I/,A night in Milano 🌹 proud of you @giulianocalza happy happy tears for you and your beautiful @gcdswear show 🥲🥲🥲🥲
Justin Bieber,justinbieber,279871941,04/03/2023,17:30:50,Album,5931412,5897713,33699,0,https://www.instagram.com/p/CpYkNlsPVpd/,📷: @rorykramer
SUGA of BTS 민윤기,agustd,43134327,19/02/2023,05:49:42,Album,5907582,5907582,0,0,https://www.instagram.com/p/Co11o-tuT5G/,"‘Wholly or Whole me’
#BTS #Photo_Folio #SUGA #Wholly_or_Whole_me"
LISA,lalalalisa_m,89165149,28/02/2023,02:50:03,Album,5877999,5820941,57058,0,https://www.instagram.com/p/CpMsPGPLctX/,#CELINE #CELINEBYHEDISLIMANE
Ariana Grande,arianagrande,357744337,24/02/2023,00:41:27,Album,5842117,5842077,40,0,https://www.instagram.com/p/CpCKVrjo-J9/,"DIE FOR YOU REMIX OUT NOW @theweeknd 
🦇🐈‍⬛"
RM,rkive,42409916,06/03/2023,07:51:59,Album,5827933,5827933,0,0,https://www.instagram.com/p/Cpcrjxaolka/,amigo
Kylie,kyliejenner,380161627,15/02/2023,19:48:20,Album,5808824,5789565,19259,0,https://www.instagram.com/p/CotCb04PUeK/,cherry on top.
RM,rkive,41935768,19/02/2023,23:37:16,Album,5804917,5804917,0,0,https://www.instagram.com/p/Co3v0BFPdWv/,#N/A
Cristiano Ronaldo,cristiano,546966524,12/02/2023,05:49:38,Photo,5791530,5764036,27494,0,https://www.instagram.com/p/Coj0Eairq61/,Huge congratulations to @alnassr_fc women’s team on their 1st league win. Such a fantastic achievement 🏆💛💙👏🏽
