pps_4
13
15
10
10
13
13
8
13
0
8
8
6
7
0
12
15
15
11
12
9
4
9
6
10
6
9
13
7
13
12
11
8
10
8
17
8
8
14
14
15
0
0
17
18
0
6
14
11
14
10
18
8
7
18
12
11
17
12
3
7
10
11
8
12
12
0
0
12
15
10
0
9
0
10
0
9
11
12
0
17
12
11
